,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density
10,Bastrop,88723,45112,43611,38.2,0.25367717502789583,0.3268600024796276,0.12422934301139502,0.1389605851921148,0.1562728942889668,0.4915410885565186,0.5084589114434814,Texas,1190.0,12.0,1178.0,1341.2531136232997,1.0084033613445378,48021.0,7.0,7,1,0,0,1,0,0,0,0,77650,6457,1767,824,130,1895,0.8751958342256235,0.07277707020727432,0.01991591808212076,0.009287332484248728,0.0014652344938741928,0.021358610506858423,0,0,0,0,0,0,1,36561,61883,12.6,80.6,18.4,3.5,888.2,36.15,63.85,O,Capital _Area_Trauma_RAC_O,2375407,5534,563,50,253,0.002329706025114854,0.00023701201520413134,2.104902444086424e-05,0.00010650806367077304,13246.0,87.0,45.0,15267,0.14929612389121197,0.013412531136232995,0.00013525241481915625,99.89079036253095
11,Baylor,3509,1704,1805,43.6,0.2285551439156455,0.28811627244229127,0.10572812767170134,0.13707609005414648,0.24052436591621545,0.5143915645483044,0.48560843545169563,Texas,5.0,0.0,5.0,142.4907381020234,0.0,48023.0,2.0,2/3,0,1,0,0,0,0,1,0,3264,108,30,17,3,87,0.9301795383300085,0.030777999430037048,0.008549444286121402,0.004844685095468795,0.0008549444286121402,0.024793388429752067,0,1,0,0,0,0,0,41704,41180,16.1,86.9,26.6,3.4,867.5,0.0,100.0,C,North_Texas_RAC_C,219793,1050,237,14,30,0.0047772222045288065,0.0010782872975936449,6.369629606038409e-05,0.00013649206298653734,546.0,261.0,152.0,510,0.1555998860074095,0.0014249073810202336,0.0,4.044956772334294
12,Bee,32565,19825,12740,35.2,0.20951942269307539,0.4406571472439736,0.12359895593428527,0.10059880239520957,0.12562567173345615,0.3912175648702595,0.6087824351297405,Texas,369.0,1.0,368.0,1133.1183786273607,0.27100271002710025,48025.0,11.0,11,0,1,0,0,0,1,0,0,28689,2906,311,209,30,420,0.8809765085214187,0.08923691079379702,0.00955013050821434,0.006417933364041149,0.0009212344541685859,0.012897282358360202,0,0,0,1,0,0,0,28457,41806,26.7,71.4,8.9,6.4,880.2,57.02,42.98,U,Coastal_Bend_RAC_U,630897,2350,1071,148,167,0.0037248552457849696,0.001697582965206682,0.00023458662824518106,0.00026470247916854893,5113.0,,,3956,0.15700905880546598,0.011331183786273607,3.070781513895286e-05,36.997273346966594
13,Bell,362924,180296,182628,31.5,0.2755177392511931,0.40953753402916315,0.10476298067915045,0.09849445062878179,0.11168729541171155,0.503212793863178,0.49678720613682203,Texas,2990.0,18.0,2972.0,823.8639494770255,0.6020066889632106,48027.0,7.0,7,1,0,0,0,1,0,0,0,238591,88715,3923,11474,3078,17143,0.6574131223065987,0.24444511798613483,0.010809425664877494,0.03161543463645281,0.008481114503311989,0.04723578490262424,0,0,0,0,0,0,1,42773,54292,13.0,90.3,23.2,4.2,1053.8,84.81,15.19,L,Central_Texas_RAC_L,490708,1006,233,10,136,0.002050099040569952,0.00047482413166282186,2.0378718097116818e-05,0.00027715056612078874,53244.0,87.0,45.0,40118,0.14670840175904598,0.008238639494770255,4.9597160838081805e-05,344.3955209717214
14,Bexar,2003554,989790,1013764,34.0,0.2527708262417684,0.39930293867796923,0.11833072629936603,0.1058938266700074,0.12370168211088894,0.5059828684427772,0.4940171315572228,Texas,35690.0,322.0,35368.0,1781.3345684718256,0.9022135051835248,48029.0,8.0,8,1,0,1,0,0,0,0,0,1688118,172402,24450,65446,4563,48575,0.8425617677387283,0.08604809253955721,0.012203314709760755,0.03266495437607372,0.002277452966079277,0.024244417669800764,0,0,0,0,0,0,1,46058,54210,17.2,83.4,26.9,3.5,1240.3,95.46,4.54,P,Southwest_Texas_RAC_P,2945792,5681,715,101,695,0.0019285136221430434,0.00024271910576171025,3.428619535934649e-05,0.00023592976014599808,291655.0,128.0,55.0,285140,0.14556882419939768,0.017813345684718256,0.00016071441049255472,1615.378537450617
15,Blanco,11931,5950,5981,50.1,0.17768837482189254,0.2601626016260163,0.1284888106613025,0.18187913837901265,0.25178107451177606,0.5012991367027072,0.49870086329729274,Texas,85.0,1.0,84.0,712.4298047104182,1.1764705882352942,48031.0,7.0,7,0,1,0,0,0,0,1,0,11282,183,148,113,10,195,0.9456038890285811,0.015338194619059593,0.012404660129075517,0.009471125639091442,0.0008381527114240215,0.01634397787276842,0,0,0,0,1,0,0,51968,64832,10.1,89.9,28.8,2.7,709.3,0.0,100.0,O,Capital _Area_Trauma_RAC_O,2375407,5534,563,50,253,0.002329706025114854,0.00023701201520413134,2.104902444086424e-05,0.00010650806367077304,764.0,87.0,45.0,1896,0.06403486715279524,0.007124298047104183,8.381527114240215e-05,16.820809248554916
16,Borden,654,337,317,49.1,0.19877675840978593,0.2415902140672783,0.1559633027522936,0.13761467889908258,0.26605504587155965,0.4847094801223242,0.5152905198776758,,0.0,0.0,,,0.0,48033.0,9.0,9/10,0,1,0,0,0,0,1,0,621,6,5,1,0,21,0.9495412844036697,0.009174311926605505,0.00764525993883792,0.0015290519877675841,0.0,0.03211009174311927,0,0,0,0,0,0,0,63756,66101,10.0,93.3,36.5,3.5,897.4,0.0,100.0,B,B_RAC_B,513580,2720,757,28,206,0.005296156392382881,0.0014739670547918532,5.451925698041201e-05,0.0004011059620701741,40.0,47.0,19.0,84,0.06116207951070336,,,0.7287720080231781
17,Bosque,18685,9237,9448,46.9,0.21032914102221034,0.2696815627508697,0.11554723039871555,0.1507091249665507,0.2537329408616537,0.5056462402997056,0.4943537597002943,Texas,103.0,0.0,103.0,551.2443136205512,0.0,48035.0,7.0,7,0,1,0,0,0,0,1,0,17683,406,168,120,14,294,0.9463740968691464,0.021728659352421728,0.00899116938720899,0.006422263848006422,0.0007492641156007493,0.015734546427615733,0,0,0,0,1,0,0,41592,48460,14.9,82.3,17.7,4.0,983.0,18.78,81.22,M,Heart_of_Texas_RAC_M,346651,445,153,11,58,0.001283711860055214,0.00044136610019875896,3.173220328226372e-05,0.00016731525367011778,2376.0,87.0,45.0,3063,0.12716082419052716,0.005512443136205513,0.0,19.008138351983725
18,Bowie,93245,46673,46572,38.3,0.2357338195077484,0.34897313528875545,0.12033889216579978,0.1251648881977586,0.1697892648399378,0.49945841600085794,0.5005415839991421,Texas,689.0,17.0,672.0,738.913614671028,2.467343976777939,48037.0,4.0,4/5N,1,0,0,0,0,0,0,1,65033,23694,994,1144,82,2298,0.6974422221030618,0.25410477773607165,0.010660089012815701,0.012268754356801973,0.0008794037213791624,0.0246447530698697,0,0,0,0,0,0,1,40010,47339,19.1,87.5,18.8,4.5,885.0,64.58,35.42,F,Northeast_Texas_RAC_F,273329,2063,693,102,63,0.00754768063396127,0.0025354060491202908,0.00037317664792246705,0.00023049145901093553,15802.0,101.0,22.0,11910,0.16946753177114054,0.0073891361467102795,0.00018231540565177758,105.36158192090396
19,Brazoria,374264,189053,185211,36.1,0.26109911720069257,0.36969091336596627,0.13115341042686446,0.1158112989761238,0.12224526003035291,0.4948672594745955,0.5051327405254046,Texas,5299.0,37.0,5262.0,1415.845499433555,0.6982449518777128,48039.0,6.0,6/5S,1,0,0,1,0,0,0,0,280330,56612,3157,25999,363,7803,0.7490167368488554,0.1512622106320672,0.008435222196096872,0.06946700724622192,0.0009699035974606161,0.020848919479298036,0,0,0,0,0,0,1,47239,74225,10.1,86.7,28.7,5.3,1363.3,77.47,22.53,R,East_Texas_Gulf_Coast_RAC_R,1309237,1663,223,4,139,0.0012702054708200272,0.0001703282140666663,3.0552146020926694e-06,0.00010616870742272026,37628.0,186.0,147.0,44276,0.10053865720454011,0.014158454994335549,9.886069726182587e-05,274.5279835692804
