,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Rating,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,Population_Estimate,,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density
31,Camp,13094,6362,6732,38.3,0.263326715,0.307850924,0.11142508,0.126928364,0.190468917,0.514128609,0.485871391,Texas,184,2,182,1405.223767,1.086956522,48063,4,4/5N,0,1,0,0,0,0,1,0,10293,2166,126,137,23,349,0.78608523,0.165419276,0.009622728,0.010462807,0.00175653,0.026653429,2,0,0,0,0,0,1,0,38660,43714,18.8,81.2,15,5.6,195.8,38.52,61.48,G,Piney_Woods_RAC_G,968611,1993,319,23,229,0.002057586,0.000329338,2.37E-05,0.000236421,2431,101,22,13094,0.169085077,2214,0.185657553,0.014052238,0.000152742,66.87436159
32,Carson,5926,2982,2944,41.9,0.233884576,0.300708741,0.109348633,0.145123186,0.210934863,0.49679379,0.50320621,Texas,10,0,10,168.7478907,0,48065,1,1,1,0,0,0,1,0,0,0,5598,65,96,40,3,124,0.944650692,0.010968613,0.016199798,0.006749916,0.000506244,0.020924738,5,0,0,1,0,0,0,0,46373,64799,8.9,92.2,26.4,3.2,920.2,4.8,95.2,A,Panhandle_RAC_A,440127,1306,467,68,112,0.002967325,0.001061057,0.000154501,0.000254472,385,50,23,5926,0.141241984,837,0.064967938,0.001687479,0,6.439904369
33,Cass,30026,14512,15514,44.5,0.22190768,0.283853993,0.12176114,0.144141744,0.228335443,0.516685539,0.483314461,Texas,134,4,130,446.2798908,2.985074627,48067,4,4/5N,0,1,0,0,0,0,1,0,24027,5117,230,149,16,487,0.800206488,0.17041897,0.007660028,0.004962366,0.000532872,0.016219277,3,0,0,0,1,0,0,0,36905,44154,20.4,85.9,14.4,6,936.9,25.99,74.01,F,Northeast_Texas_RAC_F,273329,2063,693,102,63,0.007547681,0.002535406,0.000373177,0.000230491,5001,101,22,30026,0.124425498,3736,0.166555652,0.004462799,0.000133218,32.04824421
34,Castro,7530,3863,3667,35,0.286719788,0.326958831,0.097343958,0.124833997,0.164143426,0.486985392,0.513014608,Texas,147,1,146,1952.191235,0.680272109,48069,1,1,0,1,0,0,0,0,1,0,7060,202,139,50,1,78,0.937583001,0.026826029,0.018459495,0.006640106,0.000132802,0.010358566,6,0,1,0,0,0,0,0,42786,45689,17.5,70.5,13.1,3.3,894.4,54.24,45.76,B,B_RAC_B,513580,2720,757,28,206,0.005296156,0.001473967,5.45E-05,0.000401106,1218,50,23,7530,0.251792829,1896,0.161752988,0.019521912,0.000132802,8.419051878
35,Chambers,43837,22123,21714,35.1,0.27784748,0.364942856,0.128042521,0.109199991,0.119967151,0.495334991,0.504665009,Texas,812,5,807,1852.316536,0.615763547,48071,6,6/5S,1,0,0,1,0,0,0,0,38395,3637,468,586,55,696,0.875858293,0.082966444,0.010675913,0.013367703,0.001254648,0.015876999,1,0,0,0,0,0,0,1,53673,89513,8.5,83.8,21.1,6.5,597.2,54.28,45.72,R,East_Texas_Gulf_Coast_RAC_R,1309237,1663,223,4,139,0.001270205,0.000170328,3.06E-06,0.000106169,4155,186,147,43837,0.136939115,6003,0.094782946,0.018523165,0.000114059,73.40421969
36,Cherokee,52646,26824,25822,38.2,0.253143639,0.32638757,0.120977852,0.120104091,0.179386848,0.490483607,0.509516393,Texas,638,2,636,1211.867948,0.313479624,48073,4,4/5N,0,1,0,0,0,1,0,0,42750,7620,869,303,35,1069,0.812027504,0.144740341,0.016506477,0.005755423,0.000664818,0.020305436,2,0,0,0,0,0,1,0,34468,43483,17.4,79.6,17.4,4.5,1053,36.95,63.05,G,Piney_Woods_RAC_G,968611,1993,319,23,229,0.002057586,0.000329338,2.37E-05,0.000236421,9175,101,22,52646,0.166261444,8753,0.174277248,0.012118679,3.80E-05,49.99620133
37,Childress,7306,4475,2831,33.6,0.189980838,0.458527238,0.08855735,0.103476595,0.15945798,0.387489734,0.612510266,Texas,20,0,20,273.7476047,0,48075,1,1,0,1,0,0,0,0,1,0,6271,791,74,56,2,112,0.858335615,0.108267178,0.010128661,0.007664933,0.000273748,0.015329866,3,0,0,0,1,0,0,0,30084,42291,21.2,85.3,15.6,3,696.5,66.85,33.15,A,Panhandle_RAC_A,440127,1306,467,68,112,0.002967325,0.001061057,0.000154501,0.000254472,829,50,23,7306,0.127155762,929,0.113468382,0.002737476,0,10.48959081
38,Clay,10471,5230,5241,47.4,0.197497851,0.278769936,0.11641677,0.170088817,0.237226626,0.50052526,0.49947474,Texas,25,0,25,238.7546557,0,48077,2,3-Feb,1,0,0,0,0,0,0,1,9945,110,145,50,1,220,0.94976602,0.010505205,0.01384777,0.004775093,9.55E-05,0.02101041,6,0,1,0,0,0,0,0,42335,58356,10.9,89.3,16.3,3.6,1088.8,25.4,74.6,C,North_Texas_RAC_C,219793,1050,237,14,30,0.004777222,0.001078287,6.37E-05,0.000136492,956,261,152,10471,0.144971827,1518,0.09129978,0.002387547,0,9.617009552
39,Cochran,2853,1447,1406,36.5,0.268138801,0.327725202,0.115667718,0.124430424,0.164037855,0.492814581,0.507185419,Texas,11,0,11,385.5590606,0,48079,1,1,0,1,0,0,0,0,1,0,2587,126,87,14,7,32,0.906764809,0.044164038,0.030494217,0.004907115,0.002453558,0.011216264,6,0,1,0,0,0,0,0,38312,42873,21.9,70,9.5,4.6,775.1,0,100,B,B_RAC_B,513580,2720,757,28,206,0.005296156,0.001473967,5.45E-05,0.000401106,532,50,23,2853,0.233087978,665,0.186470382,0.003855591,0,3.680815379
40,Coke,3387,1695,1692,47,0.20932979,0.276941246,0.099202834,0.134927665,0.279598465,0.49955713,0.50044287,Texas,32,1,31,944.7888987,3.125,48081,9,10-Sep,0,1,0,0,0,0,1,0,3194,35,86,5,1,66,0.94301742,0.010333629,0.025391202,0.001476233,0.000295247,0.019486271,6,0,1,0,0,0,0,0,41895,44804,14.1,85.3,20.5,3.7,911.6,0,100,K,Concho_Valley_RAC_K,179457,369,167,4,27,0.002056203,0.000930585,2.23E-05,0.000150454,372,47,19,3387,0.142899321,484,0.109831709,0.009447889,0.000295247,3.715445371
41,Coleman,8175,4161,4014,48.8,0.203180428,0.255412844,0.111314985,0.17088685,0.259204893,0.491009174,0.508990826,Texas,9,0,9,110.0917431,0,48083,2,3-Feb,0,1,0,0,0,0,1,0,7529,264,116,91,3,172,0.920978593,0.032293578,0.014189602,0.011131498,0.000366972,0.021039755,4,0,0,0,0,1,0,0,40669,39484,19.3,82.6,14.2,4.4,1262.9,48.45,51.55,D,Big_Country_RAC_D,306972,1643,604,29,79,0.00535228,0.001967606,9.45E-05,0.000257352,1176,261,152,8175,0.178103976,1456,0.143853211,0.001100917,0,6.473196611
42,Collin,1034730,509556,525174,37.2,0.256365429,0.368625632,0.149363602,0.112983097,0.11266224,0.507546896,0.492453104,Texas,5682,73,5609,549.1287582,1.284758888,48085,3,3-Feb,1,0,1,0,0,0,0,0,716671,112392,7107,168612,1030,28918,0.692616431,0.10861964,0.006868458,0.162952654,0.000995429,0.027947387,1,0,0,0,0,0,0,1,65874,96936,6.4,93.6,50.2,3.4,841.3,94.76,5.24,E,North_Central_Texas_RAC_E,8080080,12019,1650,265,1753,0.001487485,0.000204206,3.28E-05,0.000216953,55759,261,152,1034730,0.101166488,104680,0.053887488,0.005491288,7.05E-05,1229.917984
43,Collingsworth,2920,1430,1490,38.5,0.25,0.320890411,0.109246575,0.129794521,0.190068493,0.510273973,0.489726027,Texas,6,0,6,205.4794521,0,48087,1,1,0,1,0,0,0,0,1,0,2566,186,94,15,0,59,0.878767123,0.06369863,0.032191781,0.005136986,0,0.020205479,6,0,1,0,0,0,0,0,33039,39536,17.3,77,17,3.6,918.4,0,100,A,Panhandle_RAC_A,440127,1306,467,68,112,0.002967325,0.001061057,0.000154501,0.000254472,456,50,23,2920,0.270547945,790,0.156164384,0.002054795,0,3.179442509
44,Colorado,21493,10823,10670,43.1,0.229842274,0.289256967,0.1106872,0.144558694,0.225654864,0.496440702,0.503559298,Texas,225,0,225,1046.852464,0,48089,6,6/5S,0,1,0,0,0,0,1,0,17984,2693,237,152,16,411,0.836737542,0.125296608,0.011026846,0.00707207,0.000744428,0.019122505,3,0,0,0,1,0,0,0,46821,48258,13.7,81.8,18.4,3.8,960.3,37.39,62.61,Q,Southeast_Texas_Trauma_RAC_Q,6688587,6905,1243,70,915,0.001032356,0.000185839,1.05E-05,0.0001368,2793,186,147,21493,0.170613688,3667,0.129949286,0.010468525,0,22.38154743
45,Comal,156209,77331,78878,41.7,0.2248462,0.314648964,0.131804185,0.14607353,0.182627121,0.504951699,0.495048301,Texas,1539,45,1494,985.2185213,2.923976608,48091,8,8,1,0,0,1,0,0,0,0,145195,4189,1351,2207,181,3086,0.929491899,0.026816637,0.008648669,0.014128507,0.001158704,0.019755584,1,0,0,0,0,0,0,1,58067,76523,7.1,91.5,34.5,3.4,559.5,53.85,46.15,P,Southwest_Texas_RAC_P,2945792,5681,715,101,695,0.001928514,0.000242719,3.43E-05,0.00023593,11432,128,55,156209,0.105902989,16543,0.073184003,0.009852185,0.000288076,279.1939231
46,Comanche,13635,6794,6841,45.5,0.221415475,0.273560689,0.121232123,0.13956729,0.244224422,0.501723506,0.498276494,Texas,204,2,202,1496.149615,0.980392157,48093,2,3-Feb,0,1,0,0,0,0,1,0,13009,148,182,91,7,198,0.954088742,0.010854419,0.013348001,0.006674001,0.000513385,0.014521452,5,0,0,1,0,0,0,0,42465,52251,16.4,79.9,17,3.7,937.8,28.54,71.46,D,Big_Country_RAC_D,306972,1643,604,29,79,0.00535228,0.001967606,9.45E-05,0.000257352,1966,261,152,13635,0.189218922,2580,0.144187752,0.014961496,0.000146681,14.53934741
47,Concho,2726,1449,1277,48.8,0.182318415,0.264856933,0.138297872,0.161775495,0.252751284,0.468451944,0.531548056,Texas,22,0,22,807.0432869,0,48095,9,10-Sep,0,1,0,0,0,0,1,0,2555,60,25,49,1,36,0.937270726,0.022010271,0.009170946,0.017975055,0.000366838,0.013206163,6,0,1,0,0,0,0,0,19801,40987,26.6,61.4,11.5,4.2,983.8,0,100,K,Concho_Valley_RAC_K,179457,369,167,4,27,0.002056203,0.000930585,2.23E-05,0.000150454,310,47,19,2726,0.15590609,425,0.113719736,0.008070433,0,2.770888392
48,Cooke,41257,20576,20681,40,0.236202341,0.317400684,0.116610515,0.140630681,0.18915578,0.501272511,0.498727489,Texas,172,0,172,416.8989505,0,48097,3,3-Feb,0,1,0,0,0,1,0,0,37941,1490,566,427,25,808,0.91962576,0.036115084,0.013718884,0.010349759,0.000605958,0.019584555,1,0,0,0,0,0,0,1,54174,52047,14.8,86.1,21.6,3.6,874.8,40.97,59.03,E,North_Central_Texas_RAC_E,8080080,12019,1650,265,1753,0.001487485,0.000204206,3.28E-05,0.000216953,4823,261,152,41257,0.161499867,6663,0.116901374,0.00416899,0,47.16163695
49,Coryell,75951,37826,38125,32.2,0.225829811,0.470329555,0.110874116,0.087108794,0.105857724,0.501968374,0.498031626,Texas,525,3,522,691.2351384,0.571428571,48099,7,7,1,0,0,0,1,0,0,0,55812,13465,901,1650,743,3380,0.734842201,0.177285355,0.011862912,0.021724533,0.009782623,0.044502377,1,0,0,0,0,0,0,1,33996,48099,15,87.6,15.1,4.3,1052.2,80.58,19.42,L,Central_Texas_RAC_L,490708,1006,233,10,136,0.002050099,0.000474824,2.04E-05,0.000277151,8572,87,45,75951,0.110834617,8418,0.11286224,0.006912351,3.95E-05,72.18304505
50,Cottle,1398,681,717,44.6,0.229613734,0.273247496,0.100143062,0.154506438,0.24248927,0.512875536,0.487124464,Texas,7,1,6,500.7153076,14.28571429,48101,2,3-Feb,0,1,0,0,0,0,1,0,1203,156,7,1,1,30,0.860515021,0.111587983,0.005007153,0.000715308,0.000715308,0.021459227,6,0,1,0,0,0,0,0,57288,38304,21.2,72.2,16.2,4.3,900.6,0,100,B,B_RAC_B,513580,2720,757,28,206,0.005296156,0.001473967,5.45E-05,0.000401106,213,261,152,1398,0.203862661,285,0.152360515,0.005007153,0.000715308,1.552298468
51,Crane,4797,2418,2379,34.1,0.289139045,0.356681259,0.111944966,0.118407338,0.123827392,0.495934959,0.504065041,Texas,65,10,55,1355.01355,15.38461538,48103,9,10-Sep,0,1,0,0,0,0,1,0,4423,176,74,47,6,71,0.922034605,0.036689598,0.015426308,0.00979779,0.001250782,0.014800917,6,0,1,0,0,0,0,0,47758,61987,10.1,72.8,12.9,5.3,785.1,89.3,10.7,J,Texas_J_RAC_J,526736,1754,770,48,172,0.003329941,0.001461833,9.11E-05,0.000326539,479,47,19,4797,0.17490098,839,0.099854075,0.013550136,0.002084636,6.110049675
52,Crockett,3464,1738,1726,39.4,0.248267898,0.311778291,0.126732102,0.136547344,0.176674365,0.498267898,0.501732102,Texas,135,4,131,3897.228637,2.962962963,48105,9,10-Sep,0,1,0,0,0,0,1,0,3243,55,83,35,3,45,0.936200924,0.015877598,0.023960739,0.010103926,0.000866051,0.012990762,6,0,1,0,0,0,0,0,41472,49117,15.3,73.7,11,4.1,2807.3,77.25,22.75,K,Concho_Valley_RAC_K,179457,369,167,4,27,0.002056203,0.000930585,2.23E-05,0.000150454,412,47,19,3464,0.188221709,652,0.118937644,0.038972286,0.001154734,1.233925836
53,Crosby,5737,2847,2890,38.6,0.260589158,0.314624368,0.106675963,0.128987276,0.189123235,0.503747603,0.496252397,Texas,46,3,43,801.8127941,6.52173913,48107,1,1,1,0,0,0,1,0,0,0,5309,231,65,18,4,110,0.925396549,0.040264947,0.011329963,0.003137528,0.000697229,0.019173784,6,0,1,0,0,0,0,0,30773,37911,23.7,72.3,12.1,4.1,900.2,0,100,B,B_RAC_B,513580,2720,757,28,206,0.005296156,0.001473967,5.45E-05,0.000401106,1120,50,23,5737,0.184242636,1057,0.195223985,0.008018128,0.000522921,6.373028216
54,Culberson,2171,1083,1088,41.9,0.223859972,0.299861815,0.119299862,0.135882082,0.221096269,0.501151543,0.498848457,Texas,14,1,13,644.8641179,7.142857143,48109,10,10-Sep,0,1,0,0,0,0,1,0,1968,39,54,46,1,63,0.906494703,0.017964072,0.02487333,0.021188392,0.000460617,0.029018885,6,0,1,0,0,0,0,0,54180,42164,20.3,64.9,7.7,3.6,3812.2,0,100,I,Border_RAC_I,881765,801,115,8,97,0.000908405,0.00013042,9.07E-06,0.000110007,407,47,19,2171,0.210502073,457,0.187471211,0.006448641,0.000460617,0.569487435
55,Dallam,7287,3836,3451,31.6,0.319061342,0.34074379,0.122684232,0.099903939,0.117606697,0.473583093,0.526416907,Texas,173,2,171,2374.090847,1.156069364,48111,1,1,0,1,0,0,0,0,1,0,6724,190,167,76,10,120,0.922739124,0.02607383,0.022917524,0.010429532,0.001372307,0.016467682,4,0,0,0,0,1,0,0,52148,50587,12.1,72.7,11.8,2.1,1503.1,76.46,23.54,A,Panhandle_RAC_A,440127,1306,467,68,112,0.002967325,0.001061057,0.000154501,0.000254472,962,50,23,7287,0.26444353,1927,0.132015919,0.023740908,0.000274461,4.84798084
56,Dallas,2635516,1300175,1335341,33.7,0.258149068,0.398027938,0.122839323,0.110145034,0.110838637,0.506671559,0.493328441,Texas,46013,604,45409,1745.882021,1.312672506,48113,3,3-Feb,1,0,1,0,0,0,0,0,1754135,621347,28509,177235,2813,51477,0.665575546,0.235759145,0.010817237,0.067248691,0.001067343,0.019532039,1,0,0,0,0,0,0,1,58993,59838,14.2,78,29.7,3.8,873,99.31,0.69,E,North_Central_Texas_RAC_E,8080080,12019,1650,265,1753,0.001487485,0.000204206,3.28E-05,0.000216953,378574,261,152,2635516,0.201380678,530742,0.143643218,0.01745882,0.000229177,3018.918671
57,Dawson,12728,6962,5766,33.7,0.256992458,0.386785041,0.098915776,0.108186675,0.14912005,0.45301697,0.54698303,Texas,122,1,121,958.5166562,0.819672131,48115,9,10-Sep,0,1,0,0,0,1,0,0,11388,796,157,170,17,200,0.894720302,0.062539283,0.012335009,0.01335638,0.001335638,0.015713388,4,0,0,0,0,1,0,0,37111,43726,22.9,74.1,12.6,4.9,900.3,83.71,16.29,B,B_RAC_B,513580,2720,757,28,206,0.005296156,0.001473967,5.45E-05,0.000401106,2193,47,19,12728,0.158940918,2023,0.172297297,0.009585167,7.86E-05,14.13750972
58,Deaf Smith,18546,9246,9300,31.4,0.308422301,0.353930767,0.106384126,0.100614688,0.130648118,0.50145584,0.49854416,Texas,510,19,491,2749.91912,3.725490196,48117,1,1,0,1,0,0,0,1,0,0,17447,419,328,117,13,222,0.940741939,0.022592473,0.017685754,0.006308638,0.00070096,0.011970236,6,0,1,0,0,0,0,0,40470,44230,17.5,71.8,14.2,3.1,1496.8,82.29,17.71,A,Panhandle_RAC_A,440127,1306,467,68,112,0.002967325,0.001061057,0.000154501,0.000254472,3235,50,23,18546,0.220802329,4095,0.174431144,0.027499191,0.00102448,12.39043292
59,Delta,5331,2653,2678,42.1,0.234665166,0.293753517,0.120240105,0.141624461,0.209716751,0.502344776,0.497655224,Texas,12,0,12,225.0984806,0,48119,4,4/5N,0,1,0,0,0,0,1,0,4625,358,132,36,3,177,0.867567061,0.06715438,0.024760833,0.006752954,0.000562746,0.033202026,6,0,1,0,0,0,0,0,34803,44410,17.2,86.3,18.6,3.3,256.8,0,100,F,Northeast_Texas_RAC_F,273329,2063,693,102,63,0.007547681,0.002535406,0.000373177,0.000230491,787,101,22,5331,0.142187207,758,0.147627087,0.002250985,0,20.75934579
60,Denton,887207,436223,450984,36.1,0.242890329,0.393495543,0.143738722,0.114489629,0.105385778,0.508318803,0.491681197,Texas,5915,47,5868,666.6989778,0.794590025,48121,3,3-Feb,1,0,0,1,0,0,0,0,670867,97809,7422,85824,1057,24228,0.756156117,0.11024372,0.008365579,0.096735035,0.001191379,0.02730817,1,0,0,0,0,0,0,1,55933,88384,7.3,92,42.2,3.3,878.5,93.09,6.91,E,North_Central_Texas_RAC_E,8080080,12019,1650,265,1753,0.001487485,0.000204206,3.28E-05,0.000216953,52036,261,152,887207,0.108937373,96650,0.058651476,0.00666699,5.30E-05,1009.911212
61,DeWitt,20160,10585,9575,41.8,0.224603175,0.315922619,0.121031746,0.138293651,0.20014881,0.474950397,0.525049603,Texas,501,14,487,2485.119048,2.794411178,48123,8,8,0,1,0,0,0,0,1,0,17744,1840,207,82,8,279,0.88015873,0.091269841,0.010267857,0.00406746,0.000396825,0.013839286,3,0,0,0,1,0,0,0,54549,49208,18.4,79.9,14.6,4.4,909,50.38,49.62,S,Golden_Crescent_RAC_S,186672,525,122,17,47,0.00281242,0.000653553,9.11E-05,0.000251779,3024,128,55,20160,0.130406746,2629,0.15,0.02485119,0.000694444,22.17821782
62,Dickens,2211,1227,984,43.4,0.181818182,0.345092718,0.102668476,0.132971506,0.237449118,0.44504749,0.55495251,Texas,4,0,4,180.9136137,0,48125,1,1,0,1,0,0,0,0,1,0,1953,127,53,27,2,49,0.883310719,0.057440072,0.023971054,0.012211669,0.000904568,0.022161918,6,0,1,0,0,0,0,0,31586,39627,20.3,78.5,14.3,4.7,901.7,0,100,B,B_RAC_B,513580,2720,757,28,206,0.005296156,0.001473967,5.45E-05,0.000401106,228,50,23,2211,0.154228856,341,0.10312076,0.001809136,0,2.452035045
63,Dimmit,10124,4933,5191,34.9,0.286546819,0.332082181,0.103318846,0.10529435,0.172757803,0.512741999,0.487258001,Texas,87,0,87,859.3441328,0,48127,8,8,0,1,0,0,0,0,1,0,9693,170,82,77,2,100,0.957427894,0.016791782,0.008099565,0.007605689,0.00019755,0.009877519,6,0,1,0,0,0,0,0,36639,37177,24.6,66.6,10.5,5.1,1328.9,60.52,39.48,P,Southwest_Texas_RAC_P,2945792,5681,715,101,695,0.001928514,0.000242719,3.43E-05,0.00023593,2603,128,55,10124,0.163571711,1656,0.257111814,0.008593441,0,7.61833095
64,Donley,3278,1612,1666,43.2,0.19371568,0.325503356,0.090298963,0.145210494,0.245271507,0.50823673,0.49176327,Texas,38,0,38,1159.243441,0,48129,1,1,0,1,0,0,0,0,1,0,2974,198,36,19,2,49,0.907260525,0.060402685,0.010982306,0.005796217,0.000610128,0.014948139,6,0,1,0,0,0,0,0,45736,40945,18.6,87.3,16.5,3.6,926.9,0,100,A,Panhandle_RAC_A,440127,1306,467,68,112,0.002967325,0.001061057,0.000154501,0.000254472,400,50,23,3278,0.14490543,475,0.122025625,0.011592434,0,3.536519581
65,Duval,11157,5707,5450,36.5,0.256251681,0.342117057,0.107555795,0.112037286,0.182038182,0.488482567,0.511517433,Texas,119,0,119,1066.594963,0,48131,11,11,0,1,0,0,0,0,1,0,10760,160,100,58,13,66,0.964416958,0.014340773,0.008962983,0.00519853,0.001165188,0.005915569,6,0,1,0,0,0,0,0,36418,35156,25.5,67.1,8.9,7.7,1793.5,32.96,67.04,U,Coastal_Bend_RAC_U,630897,2350,1071,148,167,0.003724855,0.001697583,0.000234587,0.000264702,2696,,,11157,0.154073676,1719,0.241642018,0.01066595,0,6.220797324
66,Eastland,18360,9180,9180,42.4,0.211492375,0.314760349,0.109204793,0.143736383,0.2208061,0.5,0.5,Texas,39,0,39,212.4183007,0,48133,2,3-Feb,0,1,0,0,0,0,1,0,17307,397,226,138,15,277,0.942647059,0.021623094,0.012309368,0.00751634,0.000816993,0.015087146,3,0,0,0,1,0,0,0,71142,44773,18.7,82.8,14.6,4.3,926.5,39.65,60.35,D,Big_Country_RAC_D,306972,1643,604,29,79,0.00535228,0.001967606,9.45E-05,0.000257352,2836,261,152,18360,0.165849673,3045,0.154466231,0.002124183,0,19.81651376
67,Ector,166223,84862,81361,30.6,0.302786016,0.401833681,0.103782268,0.09552228,0.096075754,0.489468966,0.510531034,Texas,2819,35,2784,1695.914524,1.241575027,48135,9,10-Sep,1,0,0,0,0,0,0,1,149786,8876,2456,2158,445,2502,0.901114768,0.053398146,0.014775332,0.01298256,0.002677127,0.015052069,1,0,0,0,0,0,0,1,47271,60431,12.9,75.1,15.2,4.1,897.8,90.54,9.46,J,Texas_J_RAC_J,526736,1754,770,48,172,0.003329941,0.001461833,9.11E-05,0.000326539,22587,47,19,166223,0.176696366,29371,0.135883722,0.016959145,0.000210561,185.1447984
68,Edwards,1932,1024,908,48.7,0.217391304,0.246376812,0.098861284,0.14699793,0.290372671,0.469979296,0.530020704,Texas,22,0,22,1138.716356,0,48137,8,8,0,1,0,0,0,0,1,0,1827,23,46,14,0,22,0.945652174,0.011904762,0.023809524,0.007246377,0,0.011387164,6,0,1,0,0,0,0,0,35182,37812,22.1,75.1,24,3.2,2117.9,0,100,P,Southwest_Texas_RAC_P,2945792,5681,715,101,695,0.001928514,0.000242719,3.43E-05,0.00023593,296,128,55,1932,0.178571429,345,0.15320911,0.011387164,0,0.912224373
69,Ellis,184826,91277,93549,36.4,0.265157499,0.350178005,0.130750003,0.12250441,0.131410083,0.506146321,0.493853679,Texas,2268,21,2247,1227.100083,0.925925926,48139,3,3-Feb,1,0,0,1,0,0,0,0,155369,22469,1567,1569,248,3604,0.840623073,0.121568394,0.008478244,0.008489065,0.001341803,0.019499421,1,0,0,0,0,0,0,1,44313,76792,8.8,84.6,21.9,3.4,935.9,68.02,31.98,E,North_Central_Texas_RAC_E,8080080,12019,1650,265,1753,0.001487485,0.000204206,3.28E-05,0.000216953,18765,261,152,184826,0.148577581,27461,0.101527924,0.012271001,0.00011362,197.484774
70,El Paso,839238,414807,424431,32.7,0.267408053,0.389015988,0.113819918,0.104434022,0.125322018,0.505733773,0.494266227,Texas,12971,221,12750,1545.568718,1.703800786,48141,10,10-Sep,1,0,0,0,1,0,0,0,770763,33445,8927,11411,1880,12812,0.918408127,0.039851627,0.01063703,0.013596858,0.002240127,0.01526623,1,0,0,0,0,0,0,1,35856,43948,20.5,76.5,21.7,4.6,1013.2,97.83,2.17,I,Border_RAC_I,881765,801,115,8,97,0.000908405,0.00013042,9.07E-06,0.000110007,152692,47,19,839238,0.194357262,163112,0.181941237,0.015455687,0.000263334,828.3043822
71,Erath,42698,20923,21775,31.6,0.206777835,0.436554405,0.099114713,0.111035646,0.146517401,0.509977048,0.490022952,Texas,371,4,367,868.8931566,1.078167116,48143,3,3-Feb,0,1,0,0,0,1,0,0,40093,867,567,443,47,681,0.938990117,0.020305401,0.013279311,0.010375193,0.001100754,0.015949225,1,0,0,0,0,0,0,1,39572,47087,18.1,83.9,28.2,3.4,1083.2,53.68,46.32,E,North_Central_Texas_RAC_E,8080080,12019,1650,265,1753,0.001487485,0.000204206,3.28E-05,0.000216953,4179,261,152,42698,0.178298749,7613,0.097873437,0.008688932,9.37E-05,39.41838996
72,Falls,17297,8196,9101,39.6,0.209631728,0.350927907,0.119673932,0.133260103,0.186506331,0.526160606,0.473839394,Texas,103,0,103,595.4789848,0,48145,7,7,1,0,0,0,1,0,0,0,12430,4180,198,109,36,344,0.718621726,0.241660404,0.011447072,0.006301671,0.002081286,0.019887842,6,0,1,0,0,0,0,0,34619,37428,21.7,75.7,11.9,4.2,765.5,32.64,67.36,M,Heart_of_Texas_RAC_M,346651,445,153,11,58,0.001283712,0.000441366,3.17E-05,0.000167315,2811,87,45,17297,0.158351159,2739,0.162513731,0.00595479,0,22.59568909
73,Fannin,35514,18876,16638,41.1,0.211578532,0.333812018,0.130483753,0.138621389,0.185504308,0.468491299,0.531508701,Texas,186,8,178,523.7371178,4.301075269,48147,3,3-Feb,0,1,0,0,0,0,1,0,31637,2293,475,278,29,802,0.890831785,0.064566087,0.013375007,0.007827899,0.000816579,0.022582643,2,0,0,0,0,0,1,0,37605,53111,13.8,83,15.6,3.3,890.8,29.47,70.53,E,North_Central_Texas_RAC_E,8080080,12019,1650,265,1753,0.001487485,0.000204206,3.28E-05,0.000216953,4183,261,152,35514,0.157909557,5608,0.117784536,0.005237371,0.000225263,39.8675348
