,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Rating,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,Population_Estimate,,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density
11,Baylor,3509,1704,1805,43.6,0.228555144,0.288116272,0.105728128,0.13707609,0.240524366,0.514391565,0.485608435,Texas,5,0,5,142.4907381,0,48023,2,3-Feb,0,1,0,0,0,0,1,0,3264,108,30,17,3,87,0.930179538,0.030777999,0.008549444,0.004844685,0.000854944,0.024793388,6,0,1,0,0,0,0,0,41704,41180,16.1,86.9,26.6,3.4,867.5,0,100,C,North_Texas_RAC_C,219793,1050,237,14,30,0.004777222,0.001078287,6.37E-05,0.000136492,546,261,152,3509,0.145340553,510,0.155599886,0.001424907,0,4.044956772
12,Bee,32565,19825,12740,35.2,0.209519423,0.440657147,0.123598956,0.100598802,0.125625672,0.391217565,0.608782435,Texas,369,1,368,1133.118379,0.27100271,48025,11,11,0,1,0,0,0,1,0,0,28689,2906,311,209,30,420,0.880976509,0.089236911,0.009550131,0.006417933,0.000921234,0.012897282,3,0,0,0,1,0,0,0,28457,41806,26.7,71.4,8.9,6.4,880.2,57.02,42.98,U,Coastal_Bend_RAC_U,630897,2350,1071,148,167,0.003724855,0.001697583,0.000234587,0.000264702,5113,,,32565,0.121480117,3956,0.157009059,0.011331184,3.07E-05,36.99727335
13,Bell,362924,180296,182628,31.5,0.275517739,0.409537534,0.104762981,0.098494451,0.111687295,0.503212794,0.496787206,Texas,2990,18,2972,823.8639495,0.602006689,48027,7,7,1,0,0,0,1,0,0,0,238591,88715,3923,11474,3078,17143,0.657413122,0.244445118,0.010809426,0.031615435,0.008481115,0.047235785,1,0,0,0,0,0,0,1,42773,54292,13,90.3,23.2,4.2,1053.8,84.81,15.19,L,Central_Texas_RAC_L,490708,1006,233,10,136,0.002050099,0.000474824,2.04E-05,0.000277151,53244,87,45,362924,0.11054105,40118,0.146708402,0.008238639,4.96E-05,344.395521
14,Bexar,2003554,989790,1013764,34,0.252770826,0.399302939,0.118330726,0.105893827,0.123701682,0.505982868,0.494017132,Texas,35690,322,35368,1781.334568,0.902213505,48029,8,8,1,0,1,0,0,0,0,0,1688118,172402,24450,65446,4563,48575,0.842561768,0.086048093,0.012203315,0.032664954,0.002277453,0.024244418,1,0,0,0,0,0,0,1,46058,54210,17.2,83.4,26.9,3.5,1240.3,95.46,4.54,P,Southwest_Texas_RAC_P,2945792,5681,715,101,695,0.001928514,0.000242719,3.43E-05,0.00023593,291655,128,55,2003554,0.142317103,285140,0.145568824,0.017813346,0.000160714,1615.378537
15,Blanco,11931,5950,5981,50.1,0.177688375,0.260162602,0.128488811,0.181879138,0.251781075,0.501299137,0.498700863,Texas,85,1,84,712.4298047,1.176470588,48031,7,7,0,1,0,0,0,0,1,0,11282,183,148,113,10,195,0.945603889,0.015338195,0.01240466,0.009471126,0.000838153,0.016343978,4,0,0,0,0,1,0,0,51968,64832,10.1,89.9,28.8,2.7,709.3,0,100,O,Capital _Area_Trauma_RAC_O,2375407,5534,563,50,253,0.002329706,0.000237012,2.10E-05,0.000106508,764,87,45,11931,0.158913754,1896,0.064034867,0.007124298,8.38E-05,16.82080925
16,Borden,654,337,317,49.1,0.198776758,0.241590214,0.155963303,0.137614679,0.266055046,0.48470948,0.51529052,,0,0,,,0,48033,9,10-Sep,0,1,0,0,0,0,1,0,621,6,5,1,0,21,0.949541284,0.009174312,0.00764526,0.001529052,0,0.032110092,,0,0,0,0,0,0,0,63756,66101,10,93.3,36.5,3.5,897.4,0,100,B,B_RAC_B,513580,2720,757,28,206,0.005296156,0.001473967,5.45E-05,0.000401106,40,47,19,654,0.128440367,84,0.06116208,,,0.728772008
17,Bosque,18685,9237,9448,46.9,0.210329141,0.269681563,0.11554723,0.150709125,0.253732941,0.50564624,0.49435376,Texas,103,0,103,551.2443136,0,48035,7,7,0,1,0,0,0,0,1,0,17683,406,168,120,14,294,0.946374097,0.021728659,0.008991169,0.006422264,0.000749264,0.015734546,4,0,0,0,0,1,0,0,41592,48460,14.9,82.3,17.7,4,983,18.78,81.22,M,Heart_of_Texas_RAC_M,346651,445,153,11,58,0.001283712,0.000441366,3.17E-05,0.000167315,2376,87,45,18685,0.163928285,3063,0.127160824,0.005512443,0,19.00813835
18,Bowie,93245,46673,46572,38.3,0.23573382,0.348973135,0.120338892,0.125164888,0.169789265,0.499458416,0.500541584,Texas,689,17,672,738.9136147,2.467343977,48037,4,4/5N,1,0,0,0,0,0,0,1,65033,23694,994,1144,82,2298,0.697442222,0.254104778,0.010660089,0.012268754,0.000879404,0.024644753,1,0,0,0,0,0,0,1,40010,47339,19.1,87.5,18.8,4.5,885,64.58,35.42,F,Northeast_Texas_RAC_F,273329,2063,693,102,63,0.007547681,0.002535406,0.000373177,0.000230491,15802,101,22,93245,0.127728028,11910,0.169467532,0.007389136,0.000182315,105.3615819
19,Brazoria,374264,189053,185211,36.1,0.261099117,0.369690913,0.13115341,0.115811299,0.12224526,0.494867259,0.505132741,Texas,5299,37,5262,1415.845499,0.698244952,48039,6,6/5S,1,0,0,1,0,0,0,0,280330,56612,3157,25999,363,7803,0.749016737,0.151262211,0.008435222,0.069467007,0.000969904,0.020848919,1,0,0,0,0,0,0,1,47239,74225,10.1,86.7,28.7,5.3,1363.3,77.47,22.53,R,East_Texas_Gulf_Coast_RAC_R,1309237,1663,223,4,139,0.001270205,0.000170328,3.06E-06,0.000106169,37628,186,147,374264,0.11830152,44276,0.100538657,0.014158455,9.89E-05,274.5279836
20,Brazos,229211,115425,113786,27.3,0.206299,0.525162405,0.08927582,0.084620721,0.094642055,0.496424692,0.503575308,Texas,3635,43,3592,1585.875023,1.182943604,48041,7,7,1,0,0,0,0,0,0,1,182519,25612,1536,14398,290,4856,0.796292499,0.111739838,0.006701249,0.062815484,0.00126521,0.02118572,2,0,0,0,0,0,1,0,39216,50113,23.2,85.6,39.8,3.1,586.1,87.94,12.06,N,Brazos_Valley_RAC_N,360335,533,123,8,42,0.001479179,0.000341349,2.22E-05,0.000116558,22256,87,45,229211,0.139810044,32046,0.097098307,0.01585875,0.0001876,391.0783143
