,index,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Social_Distancing_Score_B,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density,Log_Lethality
10,14,Bexar,2003554,0.4226989815930504,0.42669981403081053,0.2803347280334727,0.5758970451109638,0.542722492109884,0.4376310652973141,0.2313577184300366,0.14116080355642513,0.8686828236097095,0.13131717639029006,Texas,14553.0,122.0,0.4274605247536507,0.14618855512292026,0.055887674935293986,48029.0,8.0,8,1,0,1,0,0,0,0,0,0.5144520757659059,0.18320847611840035,0.4889663182346109,0.18944272015564922,0.7921875,0.5240671158331174,0.6727762815489278,0.24327870304766308,0.2691210993368516,0.1462149451391174,0.13701080490892054,0.4807805805679768,0,0,0,0,0,0,0,1,0.2011636556312985,0.32776917974795494,0.4046822742474916,0.7738359201773839,0.45687645687645684,0.154639175257732,0.18378298055014364,0.9612325042795287,0.03876749572047125,P,Southwest_Texas_RAC_P,0.3501413749270153,0.3177124136457517,1008,125,496,0.0016630502085686974,0.00034218301903189366,4.24334100982011e-05,0.00016837577126966195,0.4296962680568972,0.29213483146067415,0.2222222222222222,0.31319474655139184,0.35578551813592785,0.007263592595956984,6.0891795279787815e-05,0.5348558426139058,-2.884411407294188
11,15,Blanco,11931,0.0018709361995357305,0.001911537339679553,0.9539748953974894,0.16691801453158495,0.03719240795410561,0.590634253452953,1.0,0.7633225985140204,0.8382009904099208,0.1617990095900783,Texas,31.0,1.0,2.9680636352843494e-05,0.034213361708765044,0.2150537634408602,48031.0,7.0,7,0,1,0,0,0,0,1,0,0.002570343305675177,0.0001541228390915043,0.002322880371660859,0.0002866308426367721,0.0017361111111111112,0.0016951714606547464,0.9075951009151375,0.033481390538317654,0.2758725441901767,0.03405392203934042,0.050422985387265286,0.3023631022539206,0,0,0,0,0,1,0,0,0.26138436299534334,0.4745467609993367,0.16722408026755856,0.9179600886917962,0.5011655011655011,0.0721649484536083,0.09611002872898985,0.0,0.9999999999999999,O,Capital _Area_Trauma_RAC_O,0.2779464353633885,0.20988533580229327,753,70,374,0.001425018954646509,0.00031699830807941547,2.9468634217209935e-05,0.00015744670281766452,0.0006946236717718802,0.15168539325842695,0.26262626262626265,0.0012434263057903576,0.03937868752120624,0.0025982734054144667,8.381527114240215e-05,0.005081331994448529,-1.536867219599265
12,18,Bowie,93245,0.01928980562196224,0.019020955675938152,0.46025104602510436,0.48309535355339006,0.35986229296150263,0.46787847897907264,0.42629740305872166,0.3650370467088958,0.8262215380170455,0.1737784619829541,Texas,458.0,13.0,0.012347144722782857,0.08974153189997033,0.18922852983988356,48037.0,4.0,4/5N,1,0,0,0,0,0,0,1,0.018978718961654567,0.02514434401068018,0.01926388722015299,0.0032716449715106313,0.01423611111111111,0.024401831217068324,0.3420688005056032,0.7419053725854955,0.2173741898485813,0.04758273191329643,0.05290463228028087,0.4898214484683914,0,0,0,0,0,0,0,1,0.13953677946585968,0.2328239000663277,0.4682274247491639,0.8647450110864745,0.2680652680652681,0.25773195876288657,0.12511970412442625,0.6502869801631256,0.3497130198368744,F,Northeast_Texas_RAC_F,0.011881594653991214,0.06872729862545403,819,99,79,0.00513300820622766,0.002996388967142162,0.00036220086416004156,0.0002890289724105382,0.022872438483036286,0.19662921348314605,0.030303030303030304,0.012272364327211653,0.44852864740955245,0.004911791516971419,0.00013941766314547698,0.034424435271124945,-1.6647998417667669
13,19,Brazoria,374264,0.08019147368092368,0.0774583592560558,0.36820083682008353,0.6212617914445145,0.43513493004719905,0.6307690116183231,0.3316795881352419,0.13408604969589777,0.7963421864243001,0.2036578135756999,Texas,2715.0,22.0,0.07906921524397484,0.14596402132530867,0.05402087170042971,48039.0,6.0,6/5S,1,0,0,1,0,0,0,0,0.08470166464834682,0.06013341723284666,0.06257759621931194,0.07523335803956085,0.06302083333333333,0.08384080504448474,0.4596000247311376,0.43676995555744175,0.1427707264562112,0.3241827980924441,0.0583490744052147,0.40409925138463165,0,0,0,0,0,0,0,1,0.21319760747511185,0.6043416979880609,0.16722408026755856,0.8470066518847008,0.4988344988344987,0.3402061855670103,0.20409140441832052,0.7800825697311449,0.21991743026885513,R,East_Texas_Gulf_Coast_RAC_R,0.14299884958439354,0.09564845808703085,304,12,196,0.001360334301581761,0.00023219630975904285,9.165643806278008e-06,0.0001497055155025408,0.05506109296306401,0.6910112359550562,1.0,0.047918720229081196,0.1810380517183361,0.007254237650428575,5.878203620973431e-05,0.0904875014122027,-2.9183847941238388
14,20,Brazos,229211,0.048697808729067996,0.04735217304070584,0.0,0.3227619616794396,0.9999999999999999,0.0,0.016166013841656057,0.0,0.8064779906759973,0.1935220093240022,Texas,2401.0,33.0,0.06942300842930073,0.22326906525781426,0.09162848812994585,48041.0,7.0,7,1,0,0,0,0,0,0,1,0.054843250269321304,0.0271830171512147,0.03011734550843045,0.04164543475239727,0.050347222222222224,0.052021249028245654,0.5673349832704688,0.31950649155585087,0.08462774016415808,0.2920172762407714,0.07611459537722187,0.41170528966248254,0,0,0,0,0,0,0,1,0.13144621404334672,0.27115575945169135,0.6053511705685618,0.8226164079822615,0.7575757575757575,0.11340206185567012,0.07576858303338506,0.8855100191320109,0.11448998086798914,N,Brazos_Valley_RAC_N,0.02289414391751132,0.0056975998860480034,155,10,42,0.0014375511676634244,0.00043015527217727946,2.775195304369545e-05,0.0001165582027835209,0.032390700006636526,0.15168539325842695,0.26262626262626265,0.03444918637627688,0.1676871681473054,0.010475064460257142,0.0001439721479335634,0.12911319088586262,-2.390013049868892
15,21,Brewster,9203,0.001331555644525544,0.0012931855696001915,0.7029288702928869,0.19339507742300144,0.2885635765810016,0.323068467593276,0.5253409769560764,0.7178546122066078,0.7678693997922297,0.23213060020777032,Texas,143.0,1.0,0.0033539119078713053,0.3447975670290396,0.04662004662004662,48043.0,10.0,9/10,0,1,0,0,0,0,1,0,0.001719871043251063,0.00012223535514153792,0.002763426649044815,0.0004227081113633205,0.0022569444444444447,0.0018679277878552302,0.8564878183171902,0.03729940142733288,0.47932844051095186,0.07232701143152379,0.08498050964382274,0.45103594698452176,0,0,1,0,0,0,0,0,0.19702666625908155,0.20976122042891887,0.36454849498327757,0.8403547671840357,0.6689976689976689,0.154639175257732,0.9999999999999999,0.6558251938374786,0.34417480616252133,J,Texas_J_RAC_J,0.04395590069289472,0.06124919877501603,508,26,212,0.0024642325567267092,0.0009644299990887276,4.9360590504541174e-05,0.000402478661037028,0.0006474305560676336,0.0,0.030303030303030304,0.0007357030755252072,0.09954628540325455,0.015538411387591003,0.00010866021949364337,0.0,-3.065724645374026
16,24,Brown,37864,0.007338313086244856,0.007454784870909058,0.5899581589958158,0.3745071675189918,0.2664483285767264,0.4533541669065866,0.5528652726649816,0.5306739972822389,0.8641219600266385,0.135878039973361,Texas,99.0,13.0,0.0016917962721120744,0.03460572432455657,0.8754208754208755,48049.0,2.0,2/3,0,1,0,0,0,1,0,0,0.009806378664074751,0.0016007516942883138,0.006047498898634307,0.0008396257006531709,0.005555555555555556,0.006759091301718925,0.858342587455273,0.10896024368597163,0.1557079606639573,0.027078787536465813,0.050842733036590926,0.3292928938204689,0,0,0,0,0,0,0,1,0.12751301725104192,0.2294798806102144,0.27090301003344486,0.811529933481153,0.261072261072261,0.18556701030927833,0.1349436977842354,0.6001409727117109,0.39985902728828915,D,Big_Country_RAC_D,0.016139866438380873,0.032974859340502816,427,19,58,0.0029351211185384986,0.0013910063458556481,6.189489595142228e-05,0.0001889423139569733,0.008276492666632254,1.0,0.9292929292929293,0.005202786420330956,0.3960826847559191,0.0026146207479399958,0.00034333403760828225,0.012792570829392332,-0.13305050778717176
17,25,Burleson,18443,0.003220029197554865,0.0033269601371754606,0.6987447698744769,0.38514716476761335,0.16008408618410896,0.47489369012089,0.7562558935227663,0.5587775449802066,0.8712086680900248,0.12879133190997516,Texas,87.0,0.0,0.0017214769084649174,0.08507190676481735,0.0,48051.0,7.0,7,1,0,0,0,0,0,0,1,0.003849104363569871,0.0024574620964107445,0.0035443950498618283,0.00022293509982860052,0.0012152777777777778,0.0029908439146583738,0.6643287261459709,0.36602862835106204,0.23991161063427607,0.012113816807201309,0.022833467822958493,0.31897697626249366,0,0,1,0,0,0,0,0,0.16622341780535776,0.3196993146141941,0.32441471571906355,0.7073170731707319,0.17482517482517482,0.21649484536082472,0.08782155004457946,0.23502164938072703,0.764978350619273,N,Brazos_Valley_RAC_N,0.02289414391751132,0.0056975998860480034,155,10,42,0.0014375511676634244,0.00043015527217727946,2.775195304369545e-05,0.0001165582027835209,0.0029421958071866264,0.15168539325842695,0.26262626262626265,0.0022764943968721606,0.2723086329517791,0.004717236892045762,0.0,0.008780269821606634,0.0
18,26,Burnet,48155,0.009420125268032783,0.009741042540241338,0.7322175732217571,0.34647902822610444,0.15020495587649363,0.356551895725733,0.7455296510021141,0.64978622970129,0.8944142080282989,0.10558579197170026,Texas,145.0,3.0,0.0033539119078713053,0.04412210554219606,0.13793103448275862,48053.0,7.0,7,0,1,0,0,0,0,1,0,0.012973212565865047,0.0010033928282922764,0.011053706596179262,0.0012970769444573121,0.007465277777777778,0.00740692752872074,0.8992872133847889,0.04847753772511498,0.2665790721295728,0.0346482128877203,0.05371956279137135,0.27279726002897753,0,0,0,0,0,0,0,1,0.20583050571128708,0.36212137961529955,0.19732441471571907,0.8337028824833703,0.3659673659673659,0.1237113402061856,0.14324868738235974,0.4463800221528547,0.5536199778471453,O,Capital _Area_Trauma_RAC_O,0.2779464353633885,0.20988533580229327,753,70,374,0.001425018954646509,0.00031699830807941547,2.9468634217209935e-05,0.00015744670281766452,0.006972782845302441,0.15168539325842695,0.26262626262626265,0.007488091632478868,0.1955083627889453,0.003011109957429135,6.229882670543038e-05,0.015549147715496038,-1.9810014688665833
19,27,Caldwell,43664,0.008748572951327001,0.008509818599953803,0.38493723849372374,0.4653707472612493,0.4507629129664802,0.47668268655073387,0.4091075119755112,0.26472519278580464,0.800383763753155,0.19961623624684455,Texas,437.0,2.0,0.012050338359254422,0.21206463914226373,0.030511060259344015,48055.0,7.0,7,1,0,0,1,0,0,0,0,0.010969138480145624,0.003014430149403491,0.01361688493732228,0.0012681243340899615,0.008159722222222223,0.008054763755722553,0.7774389767842085,0.1832640670509117,0.4067022992049862,0.038312588517278895,0.06475595918103408,0.33875185305702005,0,0,0,0,0,0,0,1,0.07491415237571203,0.30535595843466723,0.3010033444816054,0.6784922394678492,0.17249417249417245,0.1958762886597938,0.06901561932437342,0.5811096566307522,0.4188903433692478,O,Capital _Area_Trauma_RAC_O,0.2779464353633885,0.20988533580229327,753,70,374,0.001425018954646509,0.00031699830807941547,2.9468634217209935e-05,0.00015744670281766452,0.010282200084062736,0.15168539325842695,0.26262626262626265,0.007481483521022054,0.4365632631865002,0.010008244778307073,4.580432392817882e-05,0.026048586534916894,-3.4896660296497632
