,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Social_Distancing_Score_B,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density,Uninsured_Per_Pop,Log_Lethality,Sqrt_Lethality
10,Bastrop,88723,0.01919434207224511,0.01829177356773631,0.3471337579617836,0.6331672293333096,0.3767766293897721,0.5315467437094434,0.4383186639508905,0.23800405114946016,0.8036832747163409,0.1963167252836593,Texas,659.0,8.0,0.016051760754679702,0.1650787146940492,0.06069802731411229,48021.0,7.0,7,1,0,0,1,0,0,0,0,0.023574843860813068,0.006861916681281189,0.035226067289794445,0.002379821889729129,0.022569444444444444,0.020367851823068456,0.7471448297469525,0.2106546570453534,0.49329148903497794,0.03786276254937504,0.08814801463567518,0.41560972297771737,0,0,0,0,0,0,0,1,0.1514549069221037,0.437017394410706,0.25083612040133785,0.7070484581497793,0.25874125874125864,0.154639175257732,0.12564805336327314,0.36401168059611316,0.6359883194038868,O,Capital _Area_Trauma_RAC_O,0.2779464353633885,0.4433476394849786,563,50,253,0.002329706025114854,0.00023701201520413134,2.104902444086424e-05,0.00010650806367077304,0.019484645356456824,0.15168539325842695,0.26262626262626265,0.01671683183571503,0.41545866296451567,0.007427611780485331,9.016827654610417e-05,0.0329995483262494,0.17207488475367155,-2.801844080388571,0.24636969642005954
11,Baylor,3509,0.0006378164448060067,0.0006795327106740982,0.5191082802547772,0.5474252828725718,0.2550131120364344,0.2558609753448702,0.4235521424990647,0.5348879316654032,0.9332613556370728,0.06673864436292698,Texas,1.0,0.0,0.0,0.0,0.0,48023.0,2.0,2/3,0,1,0,0,0,0,1,0,0.0008845980798120993,0.00011372755342272107,0.00046034065208254107,4.342740674688192e-05,0.0005208333333333333,0.0008527081579345033,0.872445127533467,0.08709956030373263,0.13703200120411552,0.016483334617822407,0.05143316944902782,0.4931781155375432,0,0,1,0,0,0,0,0,0.19793059822880896,0.15256519469099505,0.36789297658862874,0.8458149779735682,0.44988344988344986,0.1443298969072165,0.12223029422448238,0.0,0.9999999999999999,C,North_Texas_RAC_C,0.005105420167498185,0.0584549356223176,237,14,30,0.0047772222045288065,0.0010782872975936449,6.369629606038409e-05,0.00013649206298653734,0.0007621670310424588,1.0,0.9292929292929293,0.0004765232511431605,0.43816537070678924,0.00028498147620404675,0.0,0.0012482365352039333,0.14534055286406383,0.0,0.0
12,Bee,32565,0.008384379310978693,0.005286284224140473,0.25159235668789826,0.4824560221223435,0.7344174811590967,0.5221533745426492,0.137723519295067,0.1300098976518133,0.23477916632296636,0.7652208336770334,Texas,135.0,0.0,0.0033091322171185855,0.08922462669413754,0.0,48025.0,11.0,11,0,1,0,0,0,1,0,0,0.008640082969199209,0.0030876499317103244,0.006084502531873586,0.0005992982131069705,0.005208333333333334,0.004447034950240701,0.7603181912450225,0.25907709017027136,0.16839651823557245,0.024054304139583094,0.05542115510414207,0.22452557193971232,0,0,0,0,1,0,0,0,0.0782215796132297,0.1611662224176308,0.7224080267558528,0.5044052863436124,0.03729603729603731,0.45360824742268047,0.12432718026615593,0.5741617158392911,0.42583828416070885,U,Coastal_Bend_RAC_U,0.05713979770962366,0.17004291845493563,1071,148,167,0.0037248552457849696,0.001697582965206682,0.00023458662824518106,0.00026470247916854893,0.007494888173732805,0.07303370786516855,0.0,0.004268899979640462,0.4432413355503248,0.004145555043758637,0.0,0.012164509456068817,0.12148011668969753,0.0,0.0
13,Bell,362924,0.07698427389171911,0.07685755090176055,0.13375796178343935,0.7077094699642072,0.636614983566347,0.24147936390255098,0.12123424592148624,0.08089408791499281,0.8698699561339585,0.13013004386604132,Texas,1852.0,13.0,0.045389440410925075,0.1113527843812099,0.035097192224622036,48027.0,7.0,7,1,0,0,0,1,0,0,0,0.07266729198599896,0.09429183340507735,0.07837799971979263,0.03321328068001529,0.534375,0.1849513200785787,0.25084798869741975,0.71567683630409,0.2078666173703284,0.14531267001153095,0.5102209977244582,1.0,0,0,0,0,0,0,0,1,0.2075908187240195,0.33271962847956915,0.2642140468227425,0.9207048458149778,0.3706293706293705,0.22680412371134026,0.15299012647359905,0.8539925485852382,0.14600745141476185,L,Central_Texas_RAC_L,0.03939575398041395,0.054678111587982844,233,10,136,0.002050099040569952,0.00047482413166282186,2.0378718097116818e-05,0.00027715056612078874,0.07845013260526972,0.15168539325842695,0.26262626262626265,0.044065744801439474,0.40613745935781137,0.00510299677067375,3.5820171716392413e-05,0.11399781027628204,0.11054104991678698,-3.3496341453104876,0.18734244640396377
14,Bexar,2003554,0.4230356044358167,0.4270026835854724,0.2133757961783439,0.6300738445370063,0.6044497705770824,0.4436517243452318,0.17921425491247822,0.1232301762512506,0.8855782043192828,0.11442179568071698,Texas,17679.0,165.0,0.4324838247641626,0.19734753729097265,0.046665535380960466,48029.0,8.0,8,1,0,1,0,0,0,0,0,0.514822050894893,0.1832405975479489,0.48922202429798045,0.189470880476196,0.7921875,0.5242212291950004,0.6727762815489278,0.24969605529014768,0.2515552939234687,0.1503632917855289,0.13701080490892054,0.4807805805679768,0,0,0,0,0,0,0,1,0.23727634194831013,0.33159297628534534,0.4046822742474916,0.7687224669603523,0.45687645687645684,0.154639175257732,0.18378298055014364,0.9612325042795287,0.03876749572047125,P,Southwest_Texas_RAC_P,0.3501413749270153,0.45596566523605153,715,101,695,0.0019285136221430434,0.00024271910576171025,3.428619535934649e-05,0.00023592976014599808,0.4299182255218338,0.29213483146067415,0.2222222222222222,0.31371627607534125,0.40203260036732075,0.008823820071732531,8.23536575505327e-05,0.535042487188274,0.14231710250884178,-3.064749387171342,0.2160220715134462
15,Blanco,11931,0.0024529428688316803,0.002438818885364138,0.7261146496815286,0.37381608014610457,0.16716051554541778,0.5950168774454376,0.774619736607894,0.5745541269868668,0.8590181899614218,0.14098181003857757,Texas,50.0,1.0,0.001185360794191732,0.090269474734847,0.1,48031.0,7.0,7,0,1,0,0,0,0,1,0,0.003330359253582241,0.00019344312825173116,0.002822088345375578,0.0003213628099269262,0.0017361111111111112,0.002018435766250027,0.9075951009151375,0.04167792259154825,0.2578660651661222,0.038747233488526385,0.050422985387265286,0.3023631022539206,0,0,0,0,0,1,0,0,0.2906831736851617,0.47753565442004897,0.16722408026755856,0.9118942731277533,0.5011655011655011,0.0721649484536083,0.09611002872898985,0.0,0.9999999999999999,O,Capital _Area_Trauma_RAC_O,0.2779464353633885,0.4433476394849786,563,50,253,0.002329706025114854,0.00023701201520413134,2.104902444086424e-05,0.00010650806367077304,0.0010835450054472093,0.15168539325842695,0.26262626262626265,0.002001837861037896,0.10834008792761501,0.004190763557120107,8.381527114240215e-05,0.0054805548340180425,0.15891375408599448,-2.3025850929940455,0.31622776601683794
17,Bosque,18685,0.003858105505612742,0.0038994139925601075,0.6242038216560509,0.48521960542159004,0.19707663841213396,0.4021749785195614,0.5303778373132964,0.5814320799176351,0.8836692887772697,0.11633071122272964,Texas,36.0,0.0,0.000864325579098138,0.03794251292421897,0.0,48035.0,7.0,7,0,1,0,0,0,0,1,0,0.005282880739401981,0.00043046410407665444,0.0032223845645777873,0.00034162893307547107,0.0024305555555555556,0.0030870194072059234,0.909350298629666,0.06047773110498825,0.15087699491983486,0.0240751438015554,0.04507547734105684,0.28860016950044565,0,0,0,0,0,1,0,0,0.19691848906560636,0.25258992608062436,0.3277591973244147,0.7444933920704844,0.2424242424242424,0.2061855670103093,0.1413003995641119,0.1891048232806364,0.8108951767193636,M,Heart_of_Texas_RAC_M,0.021162128606819996,0.0065236051502145925,153,11,58,0.001283711860055214,0.00044136610019875896,3.173220328226372e-05,0.00016731525367011778,0.0034599729629722453,0.15168539325842695,0.26262626262626265,0.0032861395563821647,0.3357253589745692,0.0019266791544019267,0.0,0.006205161900920318,0.16392828472036391,-1.8373699804801071,0.3990434422338111
18,Bowie,93245,0.01986165539016882,0.01953919846315231,0.35031847133757943,0.5719262324783919,0.4462736248506154,0.47357531259208163,0.33021838207397625,0.2856328042401762,0.8485800242031931,0.15141997579680666,Texas,471.0,15.0,0.011236232528275793,0.11015588232664,0.15923566878980894,48037.0,4.0,4/5N,1,0,0,0,0,0,0,1,0.019726232145989186,0.025182681525649814,0.019754618417629047,0.00330627323366261,0.01423611111111111,0.02471774280594953,0.3420688005056032,0.7440941363254381,0.20318595737561346,0.05221030996418613,0.05290463228028087,0.4898214484683914,0,0,0,0,0,0,0,1,0.1826224471353696,0.23718776620593007,0.4682274247491639,0.8590308370044051,0.2680652680652681,0.25773195876288657,0.12511970412442625,0.6502869801631256,0.3497130198368744,F,Northeast_Texas_RAC_F,0.011881594653991214,0.14540772532188845,693,102,63,0.00754768063396127,0.0025354060491202908,0.00037317664792246705,0.00023049145901093553,0.023252728395807935,0.19662921348314605,0.030303030303030304,0.013022400994866094,0.48811785521144907,0.005051209180116896,0.00016086653439862728,0.03481188384472819,0.12772802831251007,-3.266395340836177,0.19530405655620897
19,Brazoria,374264,0.08072781183217903,0.07794573006584685,0.28025477707006374,0.6584984521779591,0.511385309450834,0.6347219573694018,0.25692555519953586,0.11809806127940009,0.8225449756513095,0.17745502434869032,Texas,3146.0,24.0,0.07707314663900824,0.1876870807930751,0.038143674507310876,48039.0,6.0,6/5S,1,0,0,1,0,0,0,0,0.08539909862506005,0.060170378755267866,0.063046654524348,0.07526548621324594,0.06302083333333333,0.08413746950758802,0.4596000247311376,0.4415464110415086,0.13345193723516213,0.3274664395747575,0.0583490744052147,0.40409925138463165,0,0,0,0,0,0,0,1,0.24794867160672326,0.6065922893023001,0.16722408026755856,0.8414096916299558,0.4988344988344987,0.3402061855670103,0.20409140441832052,0.7800825697311449,0.21991743026885513,R,East_Texas_Gulf_Coast_RAC_R,0.14299884958439354,0.11107296137339058,223,4,139,0.0012702054708200272,0.0001703282140666663,3.0552146020926694e-06,0.00010616870742272026,0.055428855319468874,0.6910112359550562,1.0,0.048641688631123677,0.23982996284857266,0.008405831177992006,6.412585768334652e-05,0.0908524540198747,0.11830151978282709,-2.766689000112593,0.2507385540462557
20,Brazos,229211,0.04925251076101505,0.047855448689592996,0.0,0.471464659911643,0.9999999999999998,0.010705888388199636,0.012522513384023215,0.020830363105471927,0.8313766986218105,0.16862330137818926,Texas,2704.0,34.0,0.06591099916036944,0.26606272196683983,0.0628698224852071,48041.0,7.0,7,1,0,0,0,0,0,0,1,0.055563435595921695,0.027221274492610362,0.030602645958008927,0.04167872983520747,0.050347222222222224,0.052328217084385724,0.5673349832704688,0.32527739632620434,0.07910400226341008,0.29545720264976955,0.07611459537722187,0.41170528966248254,0,0,0,0,0,0,0,1,0.17544731610337969,0.27530158555686846,0.6053511705685618,0.8171806167400879,0.7575757575757575,0.11340206185567012,0.07576858303338506,0.8855100191320109,0.11448998086798914,N,Brazos_Valley_RAC_N,0.02289414391751132,0.014077253218884124,123,8,42,0.0014791790972289675,0.00034134902243745404,2.220156243495636e-05,0.0001165582027835209,0.032767285491258666,0.15168539325842695,0.26262626262626265,0.03518238294641039,0.2274375169217635,0.011796990545828952,0.00014833494029518654,0.12946264448047165,0.13981004402057493,-3.3877743613300146,0.18380365552345193
