,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Social_Distancing_Score_B,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density,Log_Lethality,Sqrt_Lethality,Sq_Lethality
10,Bell,362924,0.07644575161889021,0.07636960491241913,0.16216216216216206,0.6000246069324637,0.5953818807938912,0.23327084716835644,0.13678671424713584,0.10840182275954924,0.8506551149422918,0.1493448850577077,Texas,1852.0,13.0,0.044728908219245786,0.08818671517324178,0.04835613150947924,48027.0,7.0,7,1,0,0,0,1,0,0,0,0.07196014929970355,0.09425621380770571,0.07791661660458969,0.033179691480983924,0.534375,0.18468731104776712,0.25084798869741975,0.7132450192984634,0.22238169473449693,0.14113966373154208,0.5102209977244582,1.0,0,0,0,0,0,0,0,1,0.16769072438072535,0.33271962847956915,0.2642140468227425,0.9268292682926831,0.3706293706293705,0.22680412371134026,0.15299012647359905,0.8539925485852382,0.14600745141476185,L,Central_Texas_RAC_L,0.03939575398041395,0.04437005911259882,291,25,158,0.0021621819901040946,0.0005930206966260995,5.0946795242792045e-05,0.00032198374593444575,0.07809133342673637,0.15168539325842695,0.26262626262626265,0.043339298989509625,0.3602078488671824,0.00510299677067375,3.5820171716392413e-05,0.1136421487437041,-3.0291622500357156,0.2199002762833172,0.002338315454562051
11,Bexar,2003554,0.4226989815930504,0.42669981403081053,0.2586872586872586,0.49378668060455233,0.5595668983510024,0.4376310652973141,0.20220465669083598,0.16513414105927837,0.8686828236097095,0.13131717639029006,Texas,17679.0,165.0,0.43209113823950973,0.17642325803340964,0.06429473763598997,48029.0,8.0,8,1,0,1,0,0,0,0,0,0.5144520757659059,0.18320847611840035,0.4889663182346109,0.18944272015564922,0.7921875,0.5240671158331174,0.6727762815489278,0.24327870304766308,0.2691210993368516,0.1462149451391174,0.13701080490892054,0.4807805805679768,0,0,0,0,0,0,0,1,0.2011636556312985,0.33159297628534534,0.4046822742474916,0.7738359201773839,0.45687645687645684,0.154639175257732,0.18378298055014364,0.9612325042795287,0.03876749572047125,P,Southwest_Texas_RAC_P,0.3501413749270153,0.3177124136457517,1008,125,496,0.0016630502085686974,0.00034218301903189366,4.24334100982011e-05,0.00016837577126966195,0.4296962680568972,0.29213483146067415,0.2222222222222222,0.31319474655139184,0.35578551813592785,0.008823820071732531,8.23536575505327e-05,0.5348558426139058,-2.74427749189657,0.2535640700808969,0.0041338132876807855
12,Blanco,11931,0.0018709361995357305,0.001911537339679553,0.8803088803088801,0.14311914434770667,0.0726586662603228,0.590634253452953,0.8739914019855077,0.7699291288733908,0.8382009904099208,0.1617990095900783,Texas,50.0,1.0,0.0004942420797706717,0.06655378650842447,0.13777777777777778,48031.0,7.0,7,0,1,0,0,0,0,1,0,0.002570343305675177,0.0001541228390915043,0.002322880371660859,0.0002866308426367721,0.0017361111111111112,0.0016951714606547464,0.9075951009151375,0.033481390538317654,0.2758725441901767,0.03405392203934042,0.050422985387265286,0.3023631022539206,0,0,0,0,0,1,0,0,0.26138436299534334,0.47753565442004897,0.16722408026755856,0.9179600886917962,0.5011655011655011,0.0721649484536083,0.09611002872898985,0.0,0.9999999999999999,O,Capital _Area_Trauma_RAC_O,0.2779464353633885,0.20988533580229327,753,70,374,0.001425018954646509,0.00031699830807941547,2.9468634217209935e-05,0.00015744670281766452,0.0006946236717718802,0.15168539325842695,0.26262626262626265,0.0012434263057903576,0.03937868752120624,0.004190763557120107,8.381527114240215e-05,0.005081331994448529,-1.9821131977192739,0.3711842908553348,0.018982716049382717
13,Bosque,18685,0.003276918661326756,0.003372904474556953,0.7567567567567566,0.29556564614068304,0.105969355531628,0.39570546871401424,0.5984170654434697,0.779145904212191,0.8664920399617739,0.13350796003822563,Texas,36.0,0.0,0.00017298472791973506,0.012862717549940665,0.0,48035.0,7.0,7,0,1,0,0,0,0,1,0,0.004524353697554846,0.0003911531364529213,0.0027233769874644557,0.0003068976698939176,0.0024305555555555556,0.0027641012352077393,0.909350298629666,0.0524419938792041,0.16141255508548213,0.01931019595358823,0.04507547734105684,0.28860016950044565,0,0,0,0,0,1,0,0,0.15565677253691196,0.25258992608062436,0.3277591973244147,0.7494456762749446,0.2424242424242424,0.2061855670103093,0.1413003995641119,0.1891048232806364,0.8108951767193636,M,Heart_of_Texas_RAC_M,0.021162128606819996,0.011893739762125204,204,20,56,0.0017452711805245045,0.0005884881335983454,5.7694915058661304e-05,0.00016154576216425166,0.003071976875373305,0.15168539325842695,0.26262626262626265,0.0025287039841405323,0.28435004325233515,0.0019266791544019267,0.0,0.0058062299351916615,0.0,0.0,0.0
14,Bowie,93245,0.01928980562196224,0.019020955675938152,0.42471042471042453,0.4142164872553704,0.3834425902679811,0.46787847897907264,0.3725802649620733,0.38276118091712785,0.8262215380170455,0.1737784619829541,Texas,471.0,15.0,0.01055206840310384,0.08695861118010283,0.21939136588818117,48037.0,4.0,4/5N,1,0,0,0,0,0,0,1,0.018978718961654567,0.02514434401068018,0.01926388722015299,0.0032716449715106313,0.01423611111111111,0.024401831217068324,0.3420688005056032,0.7419053725854955,0.2173741898485813,0.04758273191329643,0.05290463228028087,0.4898214484683914,0,0,0,0,0,0,0,1,0.13953677946585968,0.23718776620593007,0.4682274247491639,0.8647450110864745,0.2680652680652681,0.25773195876288657,0.12511970412442625,0.6502869801631256,0.3497130198368744,F,Northeast_Texas_RAC_F,0.011881594653991214,0.06872729862545403,819,99,79,0.00513300820622766,0.002996388967142162,0.00036220086416004156,0.0002890289724105382,0.022872438483036286,0.19662921348314605,0.030303030303030304,0.012272364327211653,0.44852864740955245,0.005051209180116896,0.00016086653439862728,0.034424435271124945,-1.5168980852053355,0.46839232048378115,0.04813257142628179
15,Brazoria,374264,0.08019147368092368,0.0774583592560558,0.33976833976833976,0.5326834030286018,0.45594246277192074,0.6307690116183231,0.2898851082442959,0.15825686940816852,0.7963421864243001,0.2036578135756999,Texas,3146.0,24.0,0.07643453763653436,0.16651096391099987,0.052553507098961644,48039.0,6.0,6/5S,1,0,0,1,0,0,0,0,0.08470166464834682,0.06013341723284666,0.06257759621931194,0.07523335803956085,0.06302083333333333,0.08384080504448474,0.4596000247311376,0.43676995555744175,0.1427707264562112,0.3241827980924441,0.0583490744052147,0.40409925138463165,0,0,0,0,0,0,0,1,0.21319760747511185,0.6065922893023001,0.16722408026755856,0.8470066518847008,0.4988344988344987,0.3402061855670103,0.20409140441832052,0.7800825697311449,0.21991743026885513,R,East_Texas_Gulf_Coast_RAC_R,0.14299884958439354,0.09564845808703085,304,12,196,0.001360334301581761,0.00023219630975904285,9.165643806278008e-06,0.0001497055155025408,0.05506109296306401,0.6910112359550562,1.0,0.047918720229081196,0.1810380517183361,0.008405831177992006,6.412585768334652e-05,0.0904875014122027,-2.945923445561405,0.22924551707495097,0.0027618711084006118
16,Brazos,229211,0.048697808729067996,0.04735217304070584,0.0,0.2767431419141866,0.9999999999999999,0.0,0.01412895710198614,0.02791365089311948,0.8064779906759973,0.1935220093240022,Texas,2704.0,34.0,0.06526466663371719,0.24692977305484148,0.08662064431295201,48041.0,7.0,7,1,0,0,0,0,0,0,1,0.054843250269321304,0.0271830171512147,0.03011734550843045,0.04164543475239727,0.050347222222222224,0.052021249028245654,0.5673349832704688,0.31950649155585087,0.08462774016415808,0.2920172762407714,0.07611459537722187,0.41170528966248254,0,0,0,0,0,0,0,1,0.13144621404334672,0.27530158555686846,0.6053511705685618,0.8226164079822615,0.7575757575757575,0.11340206185567012,0.07576858303338506,0.8855100191320109,0.11448998086798914,N,Brazos_Valley_RAC_N,0.02289414391751132,0.0056975998860480034,155,10,42,0.0014375511676634244,0.00043015527217727946,2.775195304369545e-05,0.0001165582027835209,0.032390700006636526,0.15168539325842695,0.26262626262626265,0.03444918637627688,0.1676871681473054,0.011796990545828952,0.00014833494029518654,0.12911319088586262,-2.446217104837821,0.29431385341664096,0.007503136021190945
17,Brewster,9203,0.001331555644525544,0.0012931855696001915,0.6486486486486485,0.1658211552510468,0.3147702539793523,0.323068467593276,0.45914349697027745,0.7257303200625765,0.7678693997922297,0.23213060020777032,Texas,148.0,1.0,0.002916028270646963,0.3485387505430257,0.046546546546546545,48043.0,10.0,9/10,0,1,0,0,0,0,1,0,0.001719871043251063,0.00012223535514153792,0.002763426649044815,0.0004227081113633205,0.0022569444444444447,0.0018679277878552302,0.8564878183171902,0.03729940142733288,0.47932844051095186,0.07232701143152379,0.08498050964382274,0.45103594698452176,0,0,1,0,0,0,0,0,0.19702666625908155,0.21425627215520326,0.36454849498327757,0.8403547671840357,0.6689976689976689,0.154639175257732,0.9999999999999999,0.6558251938374786,0.34417480616252133,J,Texas_J_RAC_J,0.04395590069289472,0.06124919877501603,508,26,212,0.0024642325567267092,0.0009644299990887276,4.9360590504541174e-05,0.000402478661037028,0.0006474305560676336,0.0,0.030303030303030304,0.0007357030755252072,0.09954628540325455,0.01608171248505922,0.00010866021949364337,0.0,-3.067302466055243,0.2157464867536585,0.002166580995409824
18,Brown,37864,0.007338313086244856,0.007454784870909058,0.5444015444015442,0.32111060940794434,0.2934696496325485,0.4533541669065866,0.48319949476556734,0.5437745994771658,0.8641219600266385,0.135878039973361,Texas,156.0,13.0,0.0028171798546928286,0.06487588207110567,0.574074074074074,48049.0,2.0,2/3,0,1,0,0,0,1,0,0,0.009806378664074751,0.0016007516942883138,0.006047498898634307,0.0008396257006531709,0.005555555555555556,0.006759091301718925,0.858342587455273,0.10896024368597163,0.1557079606639573,0.027078787536465813,0.050842733036590926,0.3292928938204689,0,0,0,0,0,0,0,1,0.12751301725104192,0.23386276826687913,0.27090301003344486,0.811529933481153,0.261072261072261,0.18556701030927833,0.1349436977842354,0.6001409727117109,0.39985902728828915,D,Big_Country_RAC_D,0.016139866438380873,0.032974859340502816,427,19,58,0.0029351211185384986,0.0013910063458556481,6.189489595142228e-05,0.0001889423139569733,0.008276492666632254,1.0,0.9292929292929293,0.005202786420330956,0.3960826847559191,0.004120008451299387,0.00034333403760828225,0.012792570829392332,-0.5549968420791284,0.7576767609436585,0.32956104252400537
19,Burleson,18443,0.003220029197554865,0.0033269601371754606,0.6447876447876446,0.3302335749929233,0.19102347116714402,0.47489369012089,0.6609611486397655,0.5710936745558343,0.8712086680900248,0.12879133190997516,Texas,131.0,0.0,0.0025206346068304256,0.1356144877579558,0.0,48051.0,7.0,7,1,0,0,0,0,0,0,1,0.003849104363569871,0.0024574620964107445,0.0035443950498618283,0.00022293509982860052,0.0012152777777777778,0.0029908439146583738,0.6643287261459709,0.36602862835106204,0.23991161063427607,0.012113816807201309,0.022833467822958493,0.31897697626249366,0,0,1,0,0,0,0,0,0.16622341780535776,0.3235690143167267,0.32441471571906355,0.7073170731707319,0.17482517482517482,0.21649484536082472,0.08782155004457946,0.23502164938072703,0.764978350619273,N,Brazos_Valley_RAC_N,0.02289414391751132,0.0056975998860480034,155,10,42,0.0014375511676634244,0.00043015527217727946,2.775195304369545e-05,0.0001165582027835209,0.0029421958071866264,0.15168539325842695,0.26262626262626265,0.0022764943968721606,0.2723086329517791,0.0071029658949194815,0.0,0.008780269821606634,0.0,0.0,0.0
