SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,48,457,Texas,Tyler County,12,0,21672,11694,9978,9744,8848,1618,810,102,80,48,87,10,5,172,148
50,48,459,Texas,Upshur County,12,0,41753,20582,21171,18197,18663,1602,1708,239,231,98,120,12,10,434,439
50,48,461,Texas,Upton County,12,0,3657,1844,1813,1684,1658,57,68,55,50,12,10,0,1,36,26
50,48,463,Texas,Uvalde County,12,0,26741,13126,13615,12492,13055,196,147,181,140,102,129,10,15,145,129
50,48,465,Texas,Val Verde County,12,0,49025,25054,23971,23611,22769,584,440,263,241,212,212,49,45,335,264
50,48,467,Texas,Van Zandt County,12,0,56590,27633,28957,25838,27150,848,809,285,261,147,178,22,64,493,495
50,48,469,Texas,Victoria County,12,0,92084,45112,46972,40319,42057,3003,3044,453,371,581,726,47,36,709,738
50,48,471,Texas,Walker County,12,0,72971,42377,30594,30099,22962,10873,6333,332,280,441,392,41,45,591,582
50,48,473,Texas,Waller County,12,0,55246,27503,27743,19756,19449,6453,7054,442,368,374,380,35,31,443,461
50,48,475,Texas,Ward County,12,0,11998,6082,5916,5478,5347,331,304,97,94,33,38,5,6,138,127
50,48,477,Texas,Washington County,12,0,35882,17537,18345,13817,14374,3093,3232,100,116,277,353,12,8,238,262
50,48,479,Texas,Webb County,12,0,276652,136141,140511,132579,137361,1179,854,808,793,845,859,83,65,647,579
50,48,481,Texas,Wharton County,12,0,41556,20413,21143,17160,17676,2721,2925,193,155,112,132,11,15,216,240
50,48,483,Texas,Wheeler County,12,0,5056,2539,2517,2360,2310,86,71,42,52,12,32,0,0,39,52
50,48,485,Texas,Wichita County,12,0,132230,68342,63888,55964,53036,8103,6576,888,866,1328,1496,117,82,1942,1832
50,48,487,Texas,Wilbarger County,12,0,12769,6278,6491,5234,5555,549,502,105,100,220,180,5,4,165,150
50,48,489,Texas,Willacy County,12,0,21358,11817,9541,11089,9210,441,143,79,74,139,46,9,5,60,63
50,48,491,Texas,Williamson County,12,0,590551,291138,299413,234536,241743,21459,22087,2633,2480,23288,24051,482,446,8740,8606
50,48,493,Texas,Wilson County,12,0,51070,25632,25438,24355,24153,532,422,249,250,123,211,32,20,341,382
50,48,495,Texas,Winkler County,12,0,8010,4138,3872,3804,3594,168,106,80,89,38,34,2,2,46,47
50,48,497,Texas,Wise County,12,0,69984,35060,34924,33173,33158,656,456,379,436,222,241,29,26,601,607
50,48,499,Texas,Wood County,12,0,45539,22602,22937,20509,20987,1344,1186,226,249,141,138,16,20,366,357
50,48,501,Texas,Yoakum County,12,0,8713,4434,4279,4195,4065,69,64,88,65,26,27,3,0,53,58
50,48,503,Texas,Young County,12,0,18010,8942,9068,8444,8582,170,137,125,123,65,76,4,6,134,144
50,48,505,Texas,Zapata County,12,0,14179,7051,7128,6932,7018,49,29,29,35,14,21,1,1,26,24
50,48,507,Texas,Zavala County,12,0,11840,6028,5812,5800,5628,86,66,70,64,20,10,10,9,42,35
