SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,48,109,Texas,Culberson County,12,0,2171,1083,1088,970,998,26,13,28,26,25,21,1,0,33,30
50,48,111,Texas,Dallam County,12,0,7287,3836,3451,3520,3204,113,77,87,80,37,39,6,4,73,47
50,48,113,Texas,Dallas County,12,0,2635516,1300175,1335341,883177,870958,287945,333402,14494,14015,87977,89258,1348,1465,25234,26243
50,48,115,Texas,Dawson County,12,0,12728,6962,5766,6111,5277,560,236,99,58,74,96,10,7,108,92
50,48,117,Texas,Deaf Smith County,12,0,18546,9246,9300,8691,8756,226,193,161,167,48,69,7,6,113,109
50,48,119,Texas,Delta County,12,0,5331,2653,2678,2292,2333,206,152,60,72,16,20,1,2,78,99
50,48,121,Texas,Denton County,12,0,887207,436223,450984,332455,338412,45960,51849,3717,3705,41746,44078,534,523,11811,12417
50,48,123,Texas,DeWitt County,12,0,20160,10585,9575,9150,8594,1122,718,120,87,40,42,8,0,145,134
50,48,125,Texas,Dickens County,12,0,2211,1227,984,1046,907,102,25,37,16,17,10,0,2,25,24
50,48,127,Texas,Dimmit County,12,0,10124,4933,5191,4710,4983,92,78,46,36,36,41,0,2,49,51
50,48,129,Texas,Donley County,12,0,3278,1612,1666,1471,1503,95,103,15,21,8,11,1,1,22,27
50,48,131,Texas,Duval County,12,0,11157,5707,5450,5452,5308,123,37,53,47,26,32,8,5,45,21
50,48,133,Texas,Eastland County,12,0,18360,9180,9180,8628,8679,230,167,123,103,56,82,8,7,135,142
50,48,135,Texas,Ector County,12,0,166223,84862,81361,76326,73460,4679,4197,1325,1131,1025,1133,204,241,1303,1199
50,48,137,Texas,Edwards County,12,0,1932,1024,908,973,854,9,14,22,24,7,7,0,0,13,9
50,48,139,Texas,Ellis County,12,0,184826,91277,93549,77027,78342,10899,11570,758,809,687,882,115,133,1791,1813
50,48,141,Texas,El Paso County,12,0,839238,414807,424431,377948,392815,19335,14110,4622,4305,5346,6065,967,913,6589,6223
50,48,143,Texas,Erath County,12,0,42698,20923,21775,19557,20536,475,392,287,280,214,229,20,27,370,311
50,48,145,Texas,Falls County,12,0,17297,8196,9101,6029,6401,1826,2354,101,97,51,58,17,19,172,172
50,48,147,Texas,Fannin County,12,0,35514,18876,16638,16455,15182,1587,706,243,232,135,143,23,6,433,369
50,48,149,Texas,Fayette County,12,0,25346,12486,12860,11338,11631,771,830,154,162,53,63,5,12,165,162
50,48,151,Texas,Fisher County,12,0,3830,1916,1914,1757,1761,80,75,22,28,10,10,1,0,46,40
50,48,153,Texas,Floyd County,12,0,5712,2871,2841,2626,2624,123,121,44,35,17,14,0,4,61,43
50,48,155,Texas,Foard County,12,0,1155,547,608,503,560,25,30,4,4,2,8,0,0,13,6
50,48,157,Texas,Fort Bend County,12,0,811688,398284,413404,222289,221978,81368,91792,2406,2382,82446,87375,357,422,9418,9455
50,48,159,Texas,Franklin County,12,0,10725,5337,5388,4881,4948,219,231,71,54,54,60,3,2,109,93
50,48,161,Texas,Freestone County,12,0,19717,10246,9471,8053,7665,1716,1408,168,120,90,86,3,3,216,189
50,48,163,Texas,Frio County,12,0,20306,12016,8290,10567,7921,699,142,134,75,485,71,0,5,131,76
50,48,165,Texas,Gaines County,12,0,21492,10877,10615,10265,10129,291,207,127,101,50,39,7,2,137,137
50,48,167,Texas,Galveston County,12,0,342139,167942,174197,135838,138747,21394,23880,1374,1385,5507,6424,182,180,3647,3581
50,48,169,Texas,Garza County,12,0,6229,4050,2179,3625,1921,295,163,34,30,25,22,6,2,65,41
50,48,171,Texas,Gillespie County,12,0,26988,13151,13837,12667,13375,103,78,157,154,63,77,17,17,144,136
50,48,173,Texas,Glasscock County,12,0,1409,777,632,755,613,11,11,7,0,1,1,0,2,3,5
50,48,175,Texas,Goliad County,12,0,7658,3766,3892,3436,3606,209,175,38,47,20,19,1,1,62,44
50,48,177,Texas,Gonzales County,12,0,20837,10554,10283,9333,9173,824,730,201,163,45,67,17,10,134,140
50,48,179,Texas,Gray County,12,0,21886,11773,10113,10342,9320,943,293,158,190,71,79,3,2,256,229
